Metric,BTC Overall,ETH Overall,BTC Deep Calm,BTC Calm,BTC Turbulent,BTC Stress Turbulent,ETH Deep Calm,ETH Calm,ETH Turbulent,ETH Stress Turbulent
Mean Absolute Return,0.02289280967052983,0.030926872107107345,0.015546050780779693,0.022720159522960387,0.022230932854847486,0.02916209762651311,0.024166179334365323,0.031653599996587366,0.03011354358130808,0.03643650209353068
Volatility (Annualized),0.6630197894195108,0.8722473105486569,0.4194068588398411,0.6217842798891805,0.591993207524245,0.8445212930275057,0.6595092244186201,0.8758894371963588,0.791201195522523,1.0427448251646436
Max Drawdown,-0.8118477145881702,-0.9396550481981527,-0.8009114347628178,-0.796317939470843,-0.7909810255427865,-0.8118477145881702,-0.9247489229261826,-0.9177533464935663,-0.9288626965029323,-0.9396550481981527
Average Daily Volume,63815.41037214499,551579.6830383018,49978.19692602574,54844.430139394535,65031.43226824761,87123.76777970679,448704.479771163,537700.5103868545,593635.7658345953,698407.2633672099
